english,irish
using a computer art program to create and modify a costume design,ríomhchlár ealaíne a úsáid chun dearadh le haghaidh culaithirte a chumadh agus a mhodhnú do bhaill bhanna ceoil
a simple batik experiment,triail a bhaint as batik a úsáid go simplí
"experimenting with line, shape, colour, pattern, texture, with variously textured fibres and open-weave fabric","triail a bhaint as líne, as cruth, as dath, as gréas, as uigeacht, as snáithíní le saghsanna éagsúla uigeachta agus as fabraic fhí-oscailte a úsáid"
inventing stitches for decorative effect,greamanna a chumadh le haghaidh maisíochta
textural effects with basic knitting and crochet stitches and woven-in items,maisióchtaí uigeachta le lúba bunúsacha cniotála agus cróiseála agus le nithe fite isteach iontu
"making inventive use of old clothes and pieces of fabric to make toys based on stories, poems, drama","úsáid airgtheach a bhaint as seanéadaí agus as píosaí fabraice chun bréagáin bunaithe ar scéalta, ar dhánta agus ar dhrámaíocht a dhéanamh"
combining knitting or crochet with other elements to create pieces of jewellery,"cniotáil, cróiseáil agus rudaí eile a chur le chéile chun píosaí seodra a chruthú"
designing a collage or appliqué piece on an imaginative theme,colláis nó píosa appliqué a dhearadh ar théama samhlaíoch
"developing the motif as a pattern, possibly as a repeat pattern to be used in fabric printing","an mhóitíf a fhorbairt mar ghréas, mar ghréas athchóipeáilte b'fhéidir, lena úsáid chun priontáil a dhéanamh ar fhabraic"
"interpreting a natural object in line, shape, colour, pattern, texture through collage or appliqué","líne, cruth, dath, gréas agus uigeacht ruda nádúrtha a léirmhíniú trí cholláis nó appliqué"
items for personal wear,baill éadaigh phearsanta
knitting or crocheting small individual pieces,píosaí beaga ar leith a chniotáil nó a chróiseál
weaving a wall-hanging using the natural environment as a source of visual inspiration,feidhm a bhaint as an timpeallacht nádúrtha mar fhoinse spreagtha chun taipéis a chruthú
describing the piece of work,cur síos a dhéanamh ar an saothar
how challenges in construction and design were or could be overcome,mar a réitíodh fadhbanna tógála nó deartha nó mar a d'fhéadfaí iad a réiteach
"how different textures, colours and patterns combine","mar a chomhcheanglaíonn uigeacht, dathanna agus gréasa difriúla le chéile"
how the materials chosen may have suggested ways of interpreting an idea,mar a spreag na hábhair a roghnaíodh slite chun idé a léirmhíniú
what is pleasing about the work,a bhfuil taitneamhach sa saothar
colour and pattern,dath agus gréas
"covering, folding and draping qualities","cáilíochtaí clúdaithe, fillte, deasaithe"
"soft, fluffy, coarse, smooth, stiff, warm, cool, finely or thickly woven or structured, textured","bog, clúmhach, garbh, mín, righin, te, fuar, fite nó struchtúrtha go mín nó go tiubh, uigeach"
the work of artists who have used these fabrics,saothar ealaíontóirí a bhain úsáid as na fabraicí seo
"complementary or harmonious colours and tones, and subtle colour differences",dathanna agus toin chomhlántacha agus chomhchuí agus difríochtaí fíneálta datha
describing what is happening in the painting,cur síos ar a bhfuil ag tarlú sa phictiúr
how he/she feels about the painting,mar a mhothaíonn sé/sí faoin bpictiúr
how other artists have interpreted the theme in similar or dissimilar ways,mar a rinne ealaíontóirí eile an téama seo a léirmhíniú sa tslí chéanna nó i slite eile
"how rhythm, movement, atmosphere, variety, space-in-depth or form is suggested","mar a chuirtear rithim, gluaiseacht, atmaisféar, éagsúlacht, doimhneacht spásúlach nó foirm in iúl"
using the internet or a CD-ROM to access the work of an artist and to answer questions as above,an t-idirlíon nó dlúthdhiosca a úsáid chun teacht ar shaothar ealaíontóra agus chun ceisteanna cosúil leo sin thuas a fhreagairt
what he/she or the artist was trying to express,an rud a bhí ar intinn aige/aici féin nó ag an ealaíontóir a chur in iúl
looking at and trying to reproduce the colour combinations of objects of visual interest,nithe amharcspéisiúla a bhreathnú agus iarracht a dhéanamh na teaglamaí datha a chóipeáil
using colour magazine cut-outs as an exercise in colour mixing,gearrthóga irisleabhar a úsáid chun meascadh dathanna a chleachtadh
mixing and juxtaposing colours to see how they react against each other,dathanna a mheascadh agus a chur le hais a chéile chun a fháil amach mar a réitíonn siad le chéile
"using repetition and variation of complementary and harmonious colours and varieties of line, shape and texture","dathanna comhlántacha agus dathanna comhchuí, línte, uigeacht agus cruthanna éagsúla a athchóipeáil agus a athrú"
"paint, crayons, oil and chalk pastels, chalks, inks, coloured pencils, felt-tipped and fibretipped pens","péint, criáin, pastail ola nó chailce, cailceanna, dúigh, pinn luaidhe daite, pinn le bioranna feilte nó snáithín"
"print, appliqué, collage, tonal exercises in small-scale mosaic","prionta, appliqué, colláis, toin a úsáid i mosáic ar scála beag"
discovering texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe a fhionnachtain
interpreting textures in colour and tone and in mixed media,"uigeacht i ndath, i dton agus i meáin mheasctha a léirmhíniú"
classmates acting as models to capture the action,páistí eile sa rang mar shamplaí chun an t-aicsean a léirmhíniú
"stories and poems, including dramatic, atmospheric adventure stories",scéalta agus dánta; scéalta atmaisféaracha drámata eachtraíochta ina measc
"experimenting with colour and tone, with warm and cool colours, with overlapping, with basic aerial and linear perspective","triail a bhaint as dath agus as ton, as dathanna teolaí agus fionnuara, as rádalú agus as peirspictíocht bhunúsach aerga agus líneach a úsáid"
interpreting themes chosen for their colour possibilities that reflect broadening experiences and interests,téamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha agus a léiríonn leathnú éispéiris agus spéise a léirmhíniú
a portrait of a classmate in tones of one colour,portráid de pháiste eile sa rang i dtoin dhifriúla de dhath amháin
"aspects of the environment when viewed from different angles, using a view finder to help position objects or define space","gnéithe den timpeallacht mar a fheictear iad ó ionaid dhifriúla , feidhm a bhaint as lorgán radhairc chun rudaí a áitiú nó chun spás a shainniú"
"playing in a band, fashion modelling","ag seinm i mbanna ceoil, mainicíneacht faisean"
setting up and painting colour arrangements of his/her own choice,cóiriúcháin de dhathanna dá rogha féin a shocrú agus a phéinteáil
the human figure or groups of figures in a particular setting,an fhíor dhaonna nó grúpaí d'fhíoracha i suíomh ar leith
using colour and tone to create spatial effects,dath agus ton a úsáid chun maisíochtaí spásúlacha a chruthú
"complementary or harmonious colours and tones, and subtle colour differences",dathanna agus toin chomhlántacha agus chomhchuí agus difríochtaí fíneálta datha
describing what is happening in the painting,cur síos ar a bhfuil ag tarlú sa phictiúr
how he/she feels about the painting,mar a mhothaíonn sé/sí faoin bpictiúr
how other artists have interpreted the theme in similar or dissimilar ways,mar a rinne ealaíontóirí eile an téama seo a léirmhíniú sa tslí chéanna nó i slite eile
"how rhythm, movement, atmosphere, variety, space-in-depth or form is suggested","mar a chuirtear rithim, gluaiseacht, atmaisféar, éagsúlacht, doimhneacht spásúlach nó foirm in iúl"
using the internet or a CD-ROM to access the work of an artist and to answer questions as above,an t-idirlíon nó dlúthdhiosca a úsáid chun teacht ar shaothar ealaíontóra agus chun ceisteanna cosúil leo sin thuas a fhreagairt
what he/she or the artist was trying to express,an rud a bhí ar intinn aige/aici féin nó ag an ealaíontóir a chur in iúl
looking at and trying to reproduce the colour combinations of objects of visual interest,nithe amharcspéisiúla a bhreathnú agus iarracht a dhéanamh na teaglamaí datha a chóipeáil
using colour magazine cut-outs as an exercise in colour mixing,gearrthóga irisleabhar a úsáid chun meascadh dathanna a chleachtadh
mixing and juxtaposing colours to see how they react against each other,dathanna a mheascadh agus a chur le hais a chéile chun a fháil amach mar a réitíonn siad le chéile
"using repetition and variation of complementary and harmonious colours and varieties of line, shape and texture","dathanna comhlántacha agus dathanna comhchuí, línte, uigeacht agus cruthanna éagsúla a athchóipeáil agus a athrú"
"paint, crayons, oil and chalk pastels, chalks, inks, coloured pencils, felt-tipped and fibretipped pens","péint, criáin, pastail ola nó chailce, cailceanna, dúigh, pinn luaidhe daite, pinn le bioranna feilte nó snáithín"
"print, appliqué, collage, tonal exercises in small-scale mosaic","prionta, appliqué, colláis, toin a úsáid i mosáic ar scála beag"
discovering texture in natural and manufactured objects,uigeacht in earraí nádúrtha agus in earraí saothraithe a fhionnachtain
interpreting textures in colour and tone and in mixed media,"uigeacht i ndath, i dton agus i meáin mheasctha a léirmhíniú"
classmates acting as models to capture the action,páistí eile sa rang mar shamplaí chun an t-aicsean a léirmhíniú
"stories and poems, including dramatic, atmospheric adventure stories",scéalta agus dánta; scéalta atmaisféaracha drámata eachtraíochta ina measc
"experimenting with colour and tone, with warm and cool colours, with overlapping, with basic aerial and linear perspective","triail a bhaint as dath agus as ton, as dathanna teolaí agus fionnuara, as rádalú agus as peirspictíocht bhunúsach aerga agus líneach a úsáid"
interpreting themes chosen for their colour possibilities that reflect broadening experiences and interests,téamaí a roghnaíodh i ngeall ar a bhféidearthachtaí datha agus a léiríonn leathnú éispéiris agus spéise a léirmhíniú
a portrait of a classmate in tones of one colour,portráid de pháiste eile sa rang i dtoin dhifriúla de dhath amháin
"aspects of the environment when viewed from different angles, using a view finder to help position objects or define space","gnéithe den timpeallacht mar a fheictear iad ó ionaid dhifriúla , feidhm a bhaint as lorgán radhairc chun rudaí a áitiú nó chun spás a shainniú"
"playing in a band, fashion modelling","ag seinm i mbanna ceoil, mainicíneacht faisean"
setting up and painting colour arrangements of his/her own choice,cóiriúcháin de dhathanna dá rogha féin a shocrú agus a phéinteáil
the human figure or groups of figures in a particular setting,an fhíor dhaonna nó grúpaí d'fhíoracha i suíomh ar leith
using colour and tone to create spatial effects,dath agus ton a úsáid chun maisíochtaí spásúlacha a chruthú
describing the print,cur síos a dhéanamh ar an bprionta
"line, shape and negative shape, texture, pattern, colour and tone and the effect achieved","líne, cruth agus claonchruth, uigeacht, gréas, dath agus ton agus an toradh a baineadh amach"
the decisions taken while working,na socruithe a rinneadh le linn na hoibre
the most satisfactory elements or impact of the print,na codanna is sásúla den phrionta nó a thionchar
the techniques used by the artist and speculating on why they were chosen,na teicníochtaí ar bhain an t-ealaíontóir úsáid astu agus tuairimíocht faoin gcúis ar roghnaigh sé/sí iad
discovering how simple prints could be further developed,mar a d'fhéadfaí priontaí simplí a fhorbairt a thuilleadh a fhionnachtain
"experimenting with a related technique to make photograms that concentrate on expressive shape, negative shape, outline","triail a bhaint as teicníocht ghaolmhar chun fótagraim ina gcuirtear béim ar chruth, chlaonchruth agus imlíne a dhéanamh"
masking out areas and taking a further print,achair a mhascadh agus prionta breise a dhéanamh
overlapping or placing shapes side by side,rádalú nó cruthanna a leagan taobh le taobh
overprinting with contrasting shapes or colours,forphriontáil a dhéanamh le cruthanna nó le dathanna codarsnacha
using an expanding colour range to create more complex images,raon datha níos leithne a úsáid chun íomhánna níos coimpléascaí a chruthú
designing and printing cards and logos,cártaí agus comharthaí a dhearadh agus a phriontáil
experimenting with fabric-printing techniques,triail a bhaint as teicníochtaí priontála fabraice
making posters,póstaeir a dhéanamh
combining with other print-making techniques,comhcheangal a dhéanamh le teicníochtaí eile priontála
"composing relief print blocks with line, shape, texture, pattern","bloic phriontála rilífe a chumadh le líne, le cruth, le huigeacht agus le gréas"
interpreting some of his/her drawings in terms of flat shape or silhouette together with some interesting textures,roinnt dá líníochtaí a léirmhíniú mar chruth comhréidh nó mar scáthchruth le raon spéisiúil uigeachta
making a variety of relief prints,priontaí éagsúla rilífeacha a dhéanamh
"making monoprints, emphasising line, shape, texture","monaiphriontaí a dhéanamh le béim ar líne, ar chruth agus ar uigeacht"
making pictorial rubbings,cuimilteáin phictiúrtha a dhéanamh
making silk-screen prints,priontaí clóbhualadh criathair a dhéanamh
re-interpreting his/her observational drawings and sketches in relief prints,athléirmhíniú a dhéanamh ar a líníochtaí agus ar a sceitsí breathnóireachta i bpriontaí rilífe
re-interpreting some of his/her drawings as flat shape,roinnt dá líníochtaí a léirmhíniú mar chruth comhréidh
describing the print,cur síos a dhéanamh ar an bprionta
"line, shape and negative shape, texture, pattern, colour and tone and the effect achieved","líne, cruth agus claonchruth, uigeacht, gréas, dath agus ton agus an toradh a baineadh amach"
the decisions taken while working,na socruithe a rinneadh le linn na hoibre
the most satisfactory elements or impact of the print,na codanna is sásúla den phrionta nó a thionchar
the techniques used by the artist and speculating on why they were chosen,na teicníochtaí ar bhain an t-ealaíontóir úsáid astu agus tuairimíocht faoin gcúis ar roghnaigh sé/sí iad
discovering how simple prints could be further developed,mar a d'fhéadfaí priontaí simplí a fhorbairt a thuilleadh a fhionnachtain
"experimenting with a related technique to make photograms that concentrate on expressive shape, negative shape, outline","triail a bhaint as teicníocht ghaolmhar chun fótagraim ina gcuirtear béim ar chruth, chlaonchruth agus imlíne a dhéanamh"
masking out areas and taking a further print,achair a mhascadh agus prionta breise a dhéanamh
overlapping or placing shapes side by side,rádalú nó cruthanna a leagan taobh le taobh
overprinting with contrasting shapes or colours,forphriontáil a dhéanamh le cruthanna nó le dathanna codarsnacha
using an expanding colour range to create more complex images,raon datha níos leithne a úsáid chun íomhánna níos coimpléascaí a chruthú
designing and printing cards and logos,cártaí agus comharthaí a dhearadh agus a phriontáil
experimenting with fabric-printing techniques,triail a bhaint as teicníochtaí priontála fabraice
making posters,póstaeir a dhéanamh
combining with other print-making techniques,comhcheangal a dhéanamh le teicníochtaí eile priontála
"composing relief print blocks with line, shape, texture, pattern","bloic phriontála rilífe a chumadh le líne, le cruth, le huigeacht agus le gréas"
interpreting some of his/her drawings in terms of flat shape or silhouette together with some interesting textures,roinnt dá líníochtaí a léirmhíniú mar chruth comhréidh nó mar scáthchruth le raon spéisiúil uigeachta
making a variety of relief prints,priontaí éagsúla rilífeacha a dhéanamh
"making monoprints, emphasising line, shape, texture","monaiphriontaí a dhéanamh le béim ar líne, ar chruth agus ar uigeacht"
making pictorial rubbings,cuimilteáin phictiúrtha a dhéanamh
making silk-screen prints,priontaí clóbhualadh criathair a dhéanamh
re-interpreting his/her observational drawings and sketches in relief prints,athléirmhíniú a dhéanamh ar a líníochtaí agus ar a sceitsí breathnóireachta i bpriontaí rilífe
re-interpreting some of his/her drawings as flat shape,roinnt dá líníochtaí a léirmhíniú mar chruth comhréidh
"in a drama about the Famine, explore the relationships between the children who creep out at night into the potato field to see what their elders mean by blight","i ndráma i dtaobh an Drochshaoil, na saghsanna caidrimh a fhásann idir na páistí a éalaíonn amach go formhothaithe san oíche go dtí garraí na bprátaí féachaint cad tá i gceist ag a sinsir le dubh na bprátaí a iniúchadh"
"in a drama allow the relationship between a character and his friend, whom he wants to look at some birds, to develop physically and emotionally as the scene is being enacted","i bpíosa drámaíochta faoi charachtar agus chara ar mhaith leis/léi breathnú ar roinnt éan, ligtear don chaidreamh eatarthu forbairt go fisiceach agus go mothúchánach de réir mar a bhíonn an radharc á léiriú"
"in a drama in which a man from outer space, a landlubber, and a person who has never seen the night try to fish the moon out of the sea, explore the relationships that develop between them","i ndráma ina bhfuil fear as an spás amuigh, duine nach eol dó/di an fharraige agus duine nach bhfaca an oíche riamh ag iarraidh an ghealach a iascach as an bhfarraige, déantar an caidreamh a éiríonn eatarthu a iniúchadh"
"as ‘experts’ on local history, research the kind of lives people led in 1925","i ról mar 'shaineolaithe' ar an stair áitiúil, taighde a dhéanamh ar an gcineál saoil a chaith daoine sa bhlian 1925"
"for a drama about nomads and settlers, decide how best to arrange the wagons in case of attack","i ndráma i dtaobh fánaithe agus lonnaitheoirí, cinneadh ar an eagar is fearr a chur ar na vaigíní i gcás ionsaithe"
"respond to the teacher’s probe, ‘Now that Celia has told the lie, can we tell the truth without seeming to let her down, or what will we do?’","freagairt do dhúshlán an mhúinteora, 'Anois go bhfuil bréag inste ag Celia, an féidir linn an fhírinne a insint gan an chuma a bheith ar an scéal gur theipeamar uirthi, nó cad a dhéanfaimid?"
"as part of a group, work out what kind of scene will communicate most clearly to others in the class the kind of life lived in our grandparents’ time","mar bhall de ghrúpa, cinneadh ar an sórt radhairc is fearr a léireoidh don chuid eile den rang an saghas saoil a chaith daoine in aimsir ár seanaithreacha agus seanmháithreacha"
decide whether the women of the island should let the strangers know that the flowers growing on the hillside are extremely valuable,a chinneadh ar cheart do mhná an oileáin a insint do na strainséirí go bhfuil na bláthanna sléibhe fíorluachmhar
decide who should undertake the various aspects of the research that is needed before proceeding with the drama,a chinneadh cé a ghabhfaidh air/uirthi féin gnéithe éagsúla an taighde is gá a dhéanamh sula ngabhtar ar aghaidh leis an dráma
"in a scene about a death at a wall-building project during Famine times, agree on when the focus should shift so that the story may unfold out of the action","i radharc faoi bhás duine ar thionscadal tógála balla in aimsir an Drochshaoil, aontú i dtaobh an ama ab fhearr an fócas a aistriú chun go bhfásfadh an scéal as an ngníomhaíocht"
"respond in small groups to the teacher saying, ‘Let’s make a short play about fear’",freagairt i mionghrúpaí do spreagadh an mhúinteora nuair a deir sé/sí 'Déanaimis dráma gearr i dtaobh na heagla'
"as part of a comic piece about people who care about nothing, show a scene in which the hurlers or camogie players are completely uninterested in the lecture from the coach before the game","mar chuid de sceits ghrinn faoi dhaoine nach fiú leo dada, radharc a léiriú ina bhfuil na hiománaithe nó na himreoirí camógaíochta agus gan aird dá laghad acu ar aitheasc an traenálaí roimh an gcluiche"
"as part of a drama on the bravery of peacemakers, enact the scene in which the hero or heroine says goodbye to his/her family before going on his/her mission","mar chuid de dhrámaíocht faoi chrógacht lucht déanta na síochána, léiriú a thabhairt ar an radharc ina bhfágann an laoch slán ag a t(h)eaghlach roimh imeacht dó/di ar a f(h)eachtas"
enact a scene that shows the reaction of a family to the news that they have won the lotto,radharc a léiriú ina dtaispeántar mar a théann nuacht buaite an Chrannchuir i gcion ar bhaill teaglaigh
agree methods by which a drama in the dual setting of the sitting-room and the kitchen does not split into two separate dramas,"modhanna a bheartú a chinnteoidh nach scoiltfear drámaíocht atá ar siúl in dhá shuíomh, sa seomra suí agus sa chistin, in dhá dhrámaíocht ar leith"
help to create and maintain the atmosphere in the cold damp room in which they wait for the ghost to come,cuidiú le hatmaisféar an tseomra fhuair thais ina bhfuiltear ag fanacht le teacht an taibhse a chruthú agus a choinneá
"mar dhuine de na cailíní atá ag lorg a máithreacha, ceistigh úinéir na feirme faoin méid a chonaic sé/sí","i ról mar dhuine de na cailíní atá ag lorg a máithreacha, ceistigh úinéir na feirme faoin méid a chonaic sé/sí"
"ask the who, what, where, when and why questions in creating the action that a piece of script suggests","ceisteanna mar cé hé, cad é, cén áit, cén uair agus cén fáth a chur agus an ghníomhaíocht a spreagtar le script áirithe á cruthú"
be aware of the basic conventions of play-writing through occasionally writing sections of script for other groups to make into drama texts,"feasacht ar na bun-nósanna a ghabhann le scríobh drámaí a shealbhú trí phíosaí scripte a scríobh do ghrúpaí eile, ó am go ham, lena dtiontú ina dtéacsanna drámaíochta"
perform simultaneously a few lines of script to lead to a drama about the issue of family break-up during the Famine,cúpla líne scripte a léiriú go comhuaineach mar thús do dhrámaíocht i dtaobh scaipeadh teaghlach le linn an Drochshaoil
discover how space and the placing of things and people in space can provide information about relationships and happenings,mar a fhéadfaidh an chaoi a bhfuil daoine agus rudaí suite i spás faisnéis a thabhairt i dtaobh caidrimh agus teagmhas a fhionnachtain
"in a small-group Irish-language piece, arrange chairs and objects to represent an uninhabited house","agus mionghrúpa ag gabháil do dhráma Gaeilge, cuirtear na cathaoireacha agus rudaí eile in eagar áirithe chun go léireoidís teach gan chónaí ann"
work from a picture of a Famine cottage to the layout of objects to represent it,"ag baint leasa as pictiúr de bhothán in aimsir an Drochshaoil, rudaí a leagan amach chun an bothán a chur in iúl"
"begin to appreciate that, just like different games, different drama worlds (other than naturalistic drama) can have their own rules","tosú ar a thuiscint gur féidir a rialacha féin a bheith ag na genres éagsúla drámaíochta (seachas drámaíocht nádúrtha), amhail mar a bhíonn i gcluichí"
déan dráma greannmhar faoi nathair san áiléar,drámaíocht ghreannmhar a dhéanamh faoi nathair san áiléar
do a drama in which the adults act like children and the children act like adults,dráma a léiriú ina mbíonn na daoine fásta á n-iompar féin mar pháistí agus na páistí á n-iompar féin mar dhaoine fásta
"invent an extra group of characters that Alice (in Wonderland) might meet, and do a scene she might have with them",grúpa breise carachtar a cheapadh a d'fhéadfadh casadh ar Alice (i dTír na nIontas) agus an eachtra a d'éireodh di ina bhfochair a léiriú
"to lift a drama out of the naturalistic mode, do a silent scene depicting action in a labour camp while the remainder of the class juxtaposes the sounds of children playing by the seaside","chun dráma a chrochadh amach as an modh nádúrtha, radharc ciúin ina dtaispeánfaí eachtra éigin i gcampa oibre a léiriú agus aithris ar ghlórtha páistí ag súgradh ar an trá á déanamh ag an gcuid eile den rang sa chúlra ag an am céanna"
"enact a drama about green people from a dark world; engage, as in makebelieve play, with the feelings, emotions and thought processes of a person who has never seen brightness as he/she emerges into the light of day","dráma i dtaobh daoine glasa ó dhomhan diamhair a léiriú; páirt a ghlacadh ann, faoi mar a dhéanfadh sé/sí i gcur i gcéill súgarthach, leis na mothúcháin, an tocht agus na próisis mhachnaimh a dhúiseofaí i nduine nach bhfaca solas ariamh nuair a bheadh sé/"
"in the same drama, enter fully and accurately into the prejudices of the first people to meet the green children","sa dráma céanna, réamhchlaonta na chéad daoine ar casadh na páistí glasa orthu a léiriú go hiomlán, go cruinn agus i ról"
"mar shórt cluiche, déan dráma as liosta focal a thugtar dóibh","mar shórt cluiche, déan dráma as liosta focal a thugtar dóibh"
"a group of scientists, deciding that the spacewoman should be allowed to stay, do an experiment on the composition of air to find out if she can live in this atmosphere","tar éis dóibh a shocrú gur cheart a cheadú don spásbhean cur fúithi abhus, cuireann grúpa eolaithe turgnamh ar siúl ar chomhdhéanamh aeir d'fhonn a fháil amach an bhféadfadh sí maireachtáil san aerbhrat seo"
"the children of the Rhône valley, reading the signs of the wind that sweeps down the valley and knowing the danger of the wind, want to tell their parents to take precautions against it","tar éis dóibh tuar na gaoithe a shéideann anuas an gleann a aithint agus a fhios acu chomh scriosach is atá sí mar ghaoth, is mian le páistí ghleann na Róine a rá lena dtuismitheoirí faichill a dhéanamh uirthi"
"the people of the island, knowing how the smugglers exploit them, have to decide whether their future is best assured by telling the police or by taking the law into their own hands","agus a fhios acu mar atá cos ar bolg á dhéanamh ag na smuigléirí orthu, ní foláir do mhuintir an oileáin a chinneadh cé acu comhairle ab fhearr a dhéanfadh a leas amach anseo, tuairisc orthu a thabhairt do na póilíní nó a gcearta féin a bhaint amach le lá"
accept the brief of looking at a character in terms of how he/she inhabits and moves in personal space (relate to dance),glacadh leis an mionteagasc breathnú ar charachtar agus ar an gcaoi a n-áitríonn sé/sí a spás pearsanta agus ar an gcaoi a ngluaiseann sé/sí laistighde (é seo a chomhghaolú le rince)
"as the friendly mistress of the workhouse, the child holds back until the appropriate moment the news that the family must split up","ina ról mar mháistreás lách theach na mbocht, coinníonn an páiste siar an scéala go gcaithfidh baill an teaghlaigh scarúint óna chéile go dtí an nóiméad tráthúil"
"on entering the scene where the children of the family are planning to emigrate, the member of the group who is playing the mother is told: ‘Don’t say a word; just be suspicious of what they have been talking about’","i radharc ina bhfuil páistí an teaghlaigh ag beartú dul ar imirce, nuair athagann an té atá ag glacadh pháirt na máthar isteach deirtear léi: 'Ná habairfaic; ach bíodh amhras ort i dtaobh an mhéid a bhí á rá acu'"
"as members of a dance troupe in a drama about betrayal, make a dance that lets the queen know her secret is out","ról mar bhall d'fhoireann damhsa i ndrámaíocht i dtaobh feille, damhsa achumadh a chuireann in iúl don bhanríon go bhfuil a rún scaoilte"
"as the fishermen depart for three months, leaving their families on the quays, help create and be aware of the tension that comes from everyone trying to be cheerful","agus na hiascairí ag imeacht go ceann trí mhí agus a dteaghlaigh á bhfágáil ar an gcé acu, cabhraigh chun an teannas a mhúsclaítear i ngach aon duine de thoradh bheith ag iarraidh bheith meanmnach a chruthú agus bheith feasach air"
"in a drama about honesty, explore how contrary physical and verbal signals can indicate deception","i ndrámaíocht i dtaobh macántachta, an dóigh ar féidir le teachtaireachtaí fisiceacha agus briathartha a thrasnaíonn a chéile cealg a chur in iúl a iniúchadh"
"beginning with the finding by the police of an abandoned wallet, see where the investigation leads and how it must be shaped by the rules by which the police abide","agus na póilíní ag fáil sparáin a tréigeadh mar thúsphointe, treo an fhiosraithe a iniúchadh ach a thabhairt faoi deara go gcaithfear cloí leis na rialacha imeachta nach mór do na póilíní aird a thabhairt orthu"
explore a mathematical problem through a ‘mantle of the expert’ drama about a builder who wants to renovate a church,fadhb mhatamaitice i dtaobh tógálaí a dteastaíonn uaidh/uaithi séipéal a athnuachan a réiteach trí dhrámaíocht ina n-úsáidtear próiseas 'hata an tsaineolaí'
"explore bullying through a drama about a boy or girl, his/her mother and father, a dog and a gang who attack him/her going to school","bulaíocht a iniúchadh trí dhrámaíocht faoi bhuachaill nó chailín, a m(h)áthair agus a (h)athair, mhadra agus bhaicle a ionsaíonn é/í agus é/í ag dul ar scoil"
decide as a member of a group whether the woman with the fur coat should be helped to meet the fur dealer who will repair it,"a shocrú, mar bhall de ghrúpa, ar cheart cabhrú le bean an chóta fhionnaidh chun bualadh leis an tráchtálaí fionnaidh, duine a dheiseoidh an cóta di"
"decide, as a member of the group, whether to allow a soldier to pass on and possibly get killed or to risk one’s own life to save him/her","a shocrú, mar bhall de ghrúpa, cé acu a ligfear do shaighdiúir bualadh ar aghaidh agus seans go marófar é/í nó a b(h)eatha féin a chur i mbaol chun é/í a tharrtháil"
participate in hot-seating,duine a chur ar bhranraí teo
write the poem the character might write at this time (it is sometimes useful to distance true emotion from the child) and then decide what course of action he/she is likely to take,an dán a scríobhfadh an carachtar ag an bpointe seo a chumadh agus a chinneadh ansin ar an rud is dóichí a dhéanfaidh sé/sí (uaireanta is é leas an pháiste dearbhmhothúcháin a dheighilt amach uaidh/uaithi)
"as part of a group of Irish-speaking children, decide how best to teach the English girl to answer in Irish the questions the gardener will put to her",mar bhall de ghrúpa páistí a labhraíonn Gaeilge cinneadh conas is fearr an cailín Sasanach a mhúineadh chun na ceisteanna a chuirfidh an garraíodóir uirthi as Gaeilge a fhreagairt
"as part of a group, make a wall chart about the insights gained during a drama about a pop group and the conclusions for life that could be drawn from it","mar bhall de ghrúpa, cairt bhalla a réiteach ar a léireofaí na léargais a nochtadh dóibh i ndrámaíocht i dtaobh pop-ghrúpa agus na tátáil don saol a d'fhéadfaí a bhaint astu"
in a drama on board a sailing ship explore why the tired sailors might disagree with the captain and decide to take over the ship,"i ndrámaíocht suite ar bord loinge seoil, na fáthanna a n-éireodh idir na mairnéalaigh thraochta agus an captaen agus go ngabhfaidís an long a iniúchadh"
"in a drama about the Famine, explore the relationships between the children who creep out at night into the potato field to see what their elders mean by blight","i ndráma i dtaobh an Drochshaoil, na saghsanna caidrimh a fhásann idir na páistí a éalaíonn amach go formhothaithe san oíche go dtí garraí na bprátaí féachaint cad tá i gceist ag a sinsir le dubh na bprátaí a iniúchadh"
"in a drama allow the relationship between a character and his friend, whom he wants to look at some birds, to develop physically and emotionally as the scene is being enacted","i bpíosa drámaíochta faoi charachtar agus chara ar mhaith leis/léi breathnú ar roinnt éan, ligtear don chaidreamh eatarthu forbairt go fisiceach agus go mothúchánach de réir mar a bhíonn an radharc á léiriú"
"in a drama in which a man from outer space, a landlubber, and a person who has never seen the night try to fish the moon out of the sea, explore the relationships that develop between them","i ndráma ina bhfuil fear as an spás amuigh, duine nach eol dó/di an fharraige agus duine nach bhfaca an oíche riamh ag iarraidh an ghealach a iascach as an bhfarraige, déantar an caidreamh a éiríonn eatarthu a iniúchadh"
"as ‘experts’ on local history, research the kind of lives people led in 1925","i ról mar 'shaineolaithe' ar an stair áitiúil, taighde a dhéanamh ar an gcineál saoil a chaith daoine sa bhlian 1925"
"for a drama about nomads and settlers, decide how best to arrange the wagons in case of attack","i ndráma i dtaobh fánaithe agus lonnaitheoirí, cinneadh ar an eagar is fearr a chur ar na vaigíní i gcás ionsaithe"
"respond to the teacher’s probe, ‘Now that Celia has told the lie, can we tell the truth without seeming to let her down, or what will we do?’","freagairt do dhúshlán an mhúinteora, 'Anois go bhfuil bréag inste ag Celia, an féidir linn an fhírinne a insint gan an chuma a bheith ar an scéal gur theipeamar uirthi, nó cad a dhéanfaimid?"
